STORE_CODE,CITY,STATE,ZIP_CODE,OPEN_DATE,REVENUE,CUST_CNT,TRANS_CNT,FUTURE_REV,PLATINUM_PCT,GOLD_PCT,SILVER_PCT,BRONZE_PCT,MEDIUM_PCT,LOW_PCT,NEW_CNT,REACTIVATED_CNT,CONTINUING_CNT,NEW_PCT,REACTIVATED_PCT,CONTINUING_PCT,ONLINE_REVENUE,ONLINE_CUST_CNT,ONLINE_TRANS_CNT,ONLINE_FUTURE_REV,ONLINE_LESSTHAN5,ONLINE_BT5AND10,ONLINE_BT10AND15,ONLINE_BT15AND20,ONLINE_BT20AND25,ONLINE_BT25AND30,ONLINE_MORETHAN30,MAPPED_ZP_HHSIZE_AVG,MAPPED_ZP_AGE_MEDIAN,MAPPED_ZP_MALE_PERCENT,MAPPED_ZP_FEMALE_PERCENT,MAPPED_ZP_MARRIED_PERCENT,MAPPED_ZP_SINGLE_PERCENT,MAPPED_ZP_HHINCOME_MEDIAN,MAPPED_ZP_POPULATION,MAPPED_ZP_HISPANIC,MAPPED_ZP_WHITE,MAPPED_ZP_AFRICAN_AMERICAN,MAPPED_ZP_AM_IN_ALSK_NAT,MAPPED_ZP_ASIAN,MAPPED_ZP_NAT_HAW_PAC_ISLANDER,MAPPED_ZP_TWOPLUS_RACES,MAPPED_ZP_OTHER_RACE,STORE_SIZE,STORE_MALL_TYPE,STORE_MALL_SUBTYPE,CLIMATE_Q1,CLIMATE_Q2,CLIMATE_Q3,CLIMATE_Q4,STORE_LAUNCH
1739,Ridgeland,MS,39157,7/29/2008,1528228.215,6632,11672,2431221.945,3.63,12.38,12.89,32.87,19.3,18.93,3142,1210,2482,45.98,17.71,36.32,3087690.645,6835,16408,2146860.66,878,1226,362,120,34,22,4193,2.533333333,36.2625,0.47533447,0.52466553,0.3861875,0.6138125,44059.13601,14681,335.5,6943.647059,7075.411765,17.35294118,184.4705882,3.941176471,104.0294118,16.64705882,5747,Lifestyle,Suburban Specialty,COLD,HOT,HOT,HOT,2008
1740,Reston,VA,20190,9/8/2008,2162576.055,12088,17543,7231832.775,6.62,16.93,13.24,27.12,17.91,18.18,5256,2107,5129,42.07,16.87,41.06,8127160.23,13919,41066,5255944.245,4235,3921,2135,707,582,360,1979,2.948823529,41.21764706,0.50774829,0.492251711,0.604558824,0.395441176,113315.5739,17350.94118,2315.529412,9896.294118,1354.029412,37.23529412,3068.764706,8.794117647,594.4117647,75.88235294,6266,Lifestyle,Suburban Specialty,COLD,HOT,COLD,COLD,2008
1742,Miami,FL,33156,12/9/2008,2243031.45,11342,17886,5881536.375,5.86,16.33,12.61,26.09,16.84,22.27,5234,1499,4870,45.11,12.92,41.97,3230874.87,6005,17221,2349746.655,3213,2019,113,149,19,28,464,3.592916667,37.075,0.4952991,0.5047009,0.447,0.553,61516.31057,34139.20833,23806.83333,5336.25,3837.25,15.79166667,749.25,7.333333333,275.875,110.625,3894,Mall,Top Tier,HOT,HOT,HOT,HOT,2008
1744,Canton,CT,06019,9/30/2008,1501752.72,6049,11224,4404759.405,8.81,20.34,16.1,30.22,14.4,10.14,1806,1003,3446,28.87,16.04,55.09,9250170.78,16860,48441,6047760.84,1529,957,643,767,1179,993,10792,2.466986301,44.56986301,0.496921156,0.503078844,0.517486486,0.482513514,69798.77166,8416.805195,1287.779221,5892.571429,803.2207792,17.02597403,260.2337662,1.467532468,138.8701299,15.63636364,5582,Lifestyle,Power Style,COLD,HOT,COLD,COLD,2008
1746,Cherry Hill,NJ,08002,3/26/2009,3222709.44,15524,25459,9153404.61,6.5,17.67,15.13,29.81,16.82,14.07,6203,2920,6880,38.76,18.25,42.99,5713381.725,11106,31616,3841801.02,3420,2991,1526,515,108,90,2456,2.735507246,41.19710145,0.48954629,0.51045371,0.470842857,0.529157143,69197.29157,16669.45714,1882.5,10862.58571,2550.614286,12.91428571,883.9285714,3.628571429,413.9285714,59.35714286,5606,Mall,A,COLD,HOT,COLD,COLD,2009
1748,San Antonio,TX,78256,10/24/2008,3086751.54,12737,20635,5863038.96,4.93,14.06,12.58,29.08,18.82,20.54,6289,2229,4625,47.85,16.96,35.19,8310349.455,15519,41412,5550745.32,1421,2801,3633,788,424,263,6189,2.959876543,36.41829268,0.506017748,0.493982252,0.466686747,0.533313253,57275.82717,25715.6506,14227.68675,8554.036145,1729.506024,39.1686747,641.1084337,22.75903614,461.373494,40.01204819,6225,Lifestyle,A-,HOT,HOT,HOT,COLD,2008
1749,Fairfax,VA,22030,3/23/2010,2009164.53,10603,16989,6720557.91,7.06,18.34,14.19,30.04,16.94,13.42,4195,1963,4807,38.26,17.9,43.84,7379678.865,13607,41019,4646825.67,4840,3680,1551,1391,239,632,1274,3.018292683,38.57560976,0.504261356,0.495738644,0.573536585,0.426463415,107391.5353,26783.39535,4848.906977,13459.5814,3608.697674,47.95348837,3720.744186,21.93023256,1004.581395,71,5121,Mall,A,COLD,HOT,COLD,COLD,2010
1750,Miami,FL,33139,11/10/2009,2872641.645,14363,17889,6587610.93,5.21,12.62,10.46,21.49,15.72,34.5,8378,1793,4462,57.25,12.25,30.49,4302936.27,7259,19473,3391486.365,5133,583,0,0,0,0,1543,2.398235294,40.9,0.500728061,0.499271939,0.376235294,0.623764706,47709.10178,23345.55556,11981.77778,4380.222222,6387.833333,31.22222222,268.3333333,8,181.7222222,106.4444444,4611,Street,High Profile Street,HOT,HOT,HOT,HOT,2009
1755,Salt Lake City,UT,84101,3/22/2012,2439848.055,12828,19143,8449207.32,7.42,16.04,12.72,26.06,17.7,20.06,5708,2247,5382,42.8,16.85,40.35,9426022.665,15780,44413,5796747.285,3617,915,320,891,537,338,9162,2.923076923,30.88518519,0.521610633,0.478389367,0.510518519,0.489481481,57429.72426,20904.82143,3300.464286,15672.28571,354.7857143,133.8214286,674.25,249.0357143,492.3928571,27.78571429,5540,Lifestyle,B,COLD,HOT,COLD,COLD,2012
1756,Leawood,KS,66209,5/19/2009,2753062.845,11395,20252,7689993.255,7.82,19.47,15.79,30.21,15.85,10.88,3987,2158,5707,33.64,18.21,48.15,5262517.74,10716,28389,3591986.07,3913,1838,1048,232,88,40,3557,2.554,39.69607843,0.497384894,0.502615106,0.550647059,0.449352941,73816.5278,13972.13462,907.0961538,10962.44231,1171.211538,48.63461538,517.5961538,13.26923077,333.8846154,18,5896,Lifestyle,Hybrid,COLD,HOT,COLD,COLD,2009
1757,New York,NY,10013,5/12/2009,5858605.05,27898,33878,14215253.19,5.35,17.07,14.66,24.87,18.27,19.79,13580,4057,10939,47.52,14.2,38.28,4072886.13,6491,16995,3382681.59,6491,0,0,0,0,0,0,2.135,36.475,0.497079126,0.502920874,0.37575,0.62425,76559.00498,37237.6,6708,17269.6,1516.2,89.2,10581.8,5.4,977,90.4,3517,Street,High Profile Street,COLD,HOT,COLD,COLD,2009
1759,Emeryville,CA,94608,3/17/2009,2187747.18,12519,17156,5805563.955,4.9,14.86,11.96,25.81,21.76,20.71,6325,2006,4533,49.17,15.59,35.24,9402528.09,17484,46655,7213722.795,12104,4098,1261,21,0,0,0,2.699756098,37.65853659,0.475080837,0.524919163,0.413804878,0.586195122,68298.16009,27205.31707,7075.04878,8603.170732,4290.97561,82.07317073,5600.658537,148.1707317,1294.365854,110.8536585,5699,Lifestyle,Urban Specialty,COLD,HOT,COLD,COLD,2009
1764,New York,NY,10075,8/24/2010,4437219.87,12381,17871,13186687.97,13.67,23.81,14.86,22.06,15.29,10.31,4315,1871,6621,33.69,14.61,51.7,21255938.46,32200,98479,15876264.23,27244,4933,23,0,0,0,0,2.57375,38.825,0.483820033,0.516179967,0.454,0.546,60858.66528,44970.84,14460.64,14712.16,2060.48,73.24,12693.52,19.56,791.28,159.96,3511,Street,Metro Area Street,COLD,HOT,COLD,COLD,2010
1765,Boston,MA,02116,9/21/2010,2318240.955,4821,6419,3678922.665,8.6,24.74,15.64,21.91,16.36,12.76,1950,753,2273,39.19,15.13,45.68,6691270.29,11341,32213,5586382.08,11319,22,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1670,Mall,0,COLD,HOT,COLD,COLD,2010
1767,Manhasset,NY,11030,6/20/2012,6768711.24,19825,39287,19968900.24,13.22,25.05,15.11,22.43,11.76,12.43,6088,3077,11312,29.73,15.03,55.24,9452261.19,14982,46571,7056904.92,7901,7075,6,0,0,0,0,2.7875,44.98484848,0.472225379,0.527774621,0.524030303,0.475969697,98252.17365,18020.5,3310.529412,8152.764706,1582.470588,30.38235294,4461.588235,2,315.1176471,165.6470588,13249,Lifestyle,Suburban Specialty,COLD,HOT,COLD,COLD,2012
